6959,0,21,2001,2017-01-13 10:12:13,2001,1254,1,2017-01-13,Matin,'s morgens,Morgen ,Morning,20170113,16,753,11
6353,0,24,2002,2017-08-06 15:21:52.743000000,2002,1231,1,2017-08-06,Après-midi,na het middaguur,nach mittag,After noon,20170806,18,773,11
5639,0,23,2004,2017-08-18 01:26:52.817000000,2004,1231,2,2017-08-18,Nuit,Nacht,Nacht,Night,20170818,17,773,10
7536,0,22,2005,2012-12-12 10:13:00,2005,1231,1,2012-12-12,Matin,'s morgens,Morgen ,Morning,20121212,20,773,11
7177,0,21,2006,2017-06-30 19:03:52.780000000,2006,1229,2,2017-06-30,Soir ,avond,Sound,Sound,20170630,16,679,10
6277,0,24,2007,2017-06-30 19:03:52.780000000,2007,1229,2,2017-06-30,Soir ,avond,Sound,Sound,20170630,18,679,10
6851,0,21,2008,2017-04-19 03:18:52.840000000,2008,1229,1,2017-04-19,Nuit,Nacht,Nacht,Night,20170419,16,679,11
7082,0,21,2009,2016-05-15 00:20:52.713000000,2009,1208,2,2016-05-15,Nuit,Nacht,Nacht,Night,20160515,16,689,10
6338,0,24,2012,2016-01-19 12:50:52.727000000,2012,1209,2,2016-01-19,Après-midi,na het middaguur,nach mittag,After noon,20160119,18,768,10
5552,0,23,2016,2016-04-11 06:01:52.833000000,2016,1209,2,2016-04-11,Matin,'s morgens,Morgen ,Morning,20160411,17,768,10
7282,0,21,2018,2015-10-16 08:56:52.757000000,2018,1210,1,2015-10-16,Matin,'s morgens,Morgen ,Morning,20151016,16,740,11
7496,0,22,2023,2017-03-12 13:52:52.833000000,2023,1210,2,2017-03-12,Après-midi,na het middaguur,nach mittag,After noon,20170312,20,740,10
7658,0,22,2024,2017-02-14 14:55:52.730000000,2024,1211,2,2017-02-14,Après-midi,na het middaguur,nach mittag,After noon,20170214,20,781,10
5982,0,24,2026,2016-02-14 19:06:52.793000000,2026,1211,2,2016-02-14,Soir ,avond,Sound,Sound,20160214,18,781,10
